Username,Text
alluckaz,i just saw the worst video ever and im refraining from posting it here bc i dont wanna bully the creator nor do i w… https://t.co/5vsiwChgpm
Mojoyinola111,"RT @daizongkaichan1: 彩票  'Hold your tongue this instant, or I'll have you 
棋牌  How dare you bully a magistrate!'
幸运飞艇 said Mr. Fang. 'You'r…"
hhanahh__,RT @daayycc: im no bully but some people just be so easy to laugh at
insane_bully,"@YT_Blockbuster In developer's preview lol 😂 ok, we will count this as disadvantage of iOS 16 regardless. Let's sho… https://t.co/vXRGMhTo4L"
REZBOMB,Credit to Depp for standing up to a racist bully. https://t.co/uaHGs4c6tn
HarmanR47154159,@notaryanarya King Babar- small team bully
savannah_j_hall,RT @iBelieveYouA: If Marylin Manson/Brian looses his lawsuit against Evan Rachel Wood are you all gonna bully and mock him too? Or is that…
daveglumart,Yeah evil little bully https://t.co/SuaVy96jBi
UnentitledB,"@konstructivizm Love the footprint. It's as if Pluto was kicked to the edge of the solar system by another bigger,… https://t.co/7YtIFD6mag"
niiballard,RT @FCTamakloe: This man is making a political career off being a bully. That tells me everything about how small-minded he his. We are in…
lakunle70,@Ifeagbeja @Mosopemi She likes to bully me ni! Because I'm a gentleman!🤣🤣🤣🤣🤣🤣
cosmologist123,@techyaaditya @PrustiPiyush @TScailing @GyanTherapy @That_Kartikey @TL_Techy @insane_bully @Kushal_roy69… https://t.co/XoCMhIkHBq
TAKEKURABABELS,why would you hate oceans twelve when its literally the second chance given to bully terry benedict!!!!!!!!!!!!!!! https://t.co/RJAJSj4UU0
death_megatron,@cosmologist123 @PrustiPiyush @TScailing @GyanTherapy @That_Kartikey @TL_Techy @insane_bully @Kushal_roy69… https://t.co/NbaAeJgaea
EnvedeaVT,"《 STREAM OVER 》

Thank you all for joining the stream and chatting and lurking as I showed off the model and worked… https://t.co/0qnFktNgFx"
DeepSen85170107,"RT @IndiaUnleashed_: In human interactions
We have some common ground
Some mismatch and some unfound
Build on Common ground we must
And fir…"
djgtfinest92,New Science teacher coming soon  this 2k guy are playing with alot peoples life u want to be a bully for woman’s li… https://t.co/oOeHgxaMH3
steveaustin261,"RT @steveaustinBSR: Was a great time, Bully. Thanks for bringing the surprise gift…
RT @bullyray5150: Coming soon…

The one you all been wa…"
techyaaditya,@cosmologist123 @PrustiPiyush @TScailing @GyanTherapy @That_Kartikey @TL_Techy @insane_bully @Kushal_roy69… https://t.co/HztFABNpUX
dkiigo,"RT @YussufMwinyi: In school, there were people who would disrupt class, bully others, steal pocket money then blame us for their mess 

The…"
karanda1221,"RT @cenkuygur: These guys are like high school bullies depicted in over the top movies, but in the real world. They keep trying to bully th…"
TheBluuJayy,RT @fsfblake: Male gamers have a responsibility to bully the living shit out of any dude who gets creepy when there's a fem sounding person…
Assyriangirll,RT @BarbieRed2024: AOC is a bully that doesn't know when to shut the fuck up. She thinks her job is to tweet all day like a 15 yr old girl…
ShujaSalman1,"RT @ZafarHilaly: If we can’t befriend who we want, shop where we want, buy or sell what we need, join organisations we want, fight those wh…"
beefbaloney,@jrreece1623 @ProjectGrifter @FoxNews @ClayTravis He’s a whiner and a bully
MonnaMoT,"RT @PeruMorkels: Guys jokes aside, bad matric results don’t mean Jack. Maybe at the time, they had struggles… People are millionaires regar…"
Ruth10629123,"@GwrGolfer @Garethjaz @pritipatel No, her reason is to appeal to racist Brexit supporters who may defect after Part… https://t.co/NZwsppKy3J"
FoilesJoe,"RT @cenkuygur: These guys are like high school bullies depicted in over the top movies, but in the real world. They keep trying to bully th…"
zaplatio,"RT @mhmck: Actively preventing other countries from participating in the defence of Western civilization from Russian fascist aggression, S…"
M0LA3,@ShibuSh50116873 @KingofCum5 @CS11__ I love bullying bullies who bully bullies bullying snyder fans
TenOverTen__,RT @WonderboyIyke: Wizkid is a bully. 😂 😂 Chris Brown has to bring his vocals and screams. I love it. The Saxophone is everything. Afrobeat…
RomanoFukadu,"@HobyoSult Great Job bully. You must be a formagio supporter, but even if you are not, you still a looser."
